Description,PLC tag,Value,"Setup word DINT[100]",Comment
Apron UP gain used above gain change angle,ApronUpLowGain,0.25,SetupWord[31],SetupWord is integer = real value *100
Top & Bottom apron manual speed,Apron_Manual_speed,1000,SetupWord[32]

Backgauge calibration value,Backgauge_Calibration,-9999,SetupWord[40],
Backgauge FORWARD speed in RPM,Backgauge_FWD_speed,350,SetupWord[41],
Backgauge REVERSE speed in RPM,Backgauge_REV_speed,400,SetupWord[42],
Backgauge motor encoder pulses per rev (Param 223),EncoderPPR_P223,2000,SetupWord[43],
Backgauge motor encoder multiplier (Param 71),EncoderInterpolation_P71,4,SetupWord[44],
Set to 1 for Taper version,B_TaperVersion,1,SetupWord[45],

Clamp LIGHT GAUGE pressure,LightGaugePressureSetpoint,70,SetupWord[48],
Clamp HEAVY GAUGE pressure,HeavyGaugePressureSetpoint,110,SetupWord[49],
Clamp calibration,Clamp_Calibration,13,SetupWord[50],
Clamp position error at which speed switches to creep,Clamp_creep_Neg,-3,SetupWord[51],
Clamp position error at which speed switches to creep,Clamp_creep_Pos,3,SetupWord[52],
Clamp CREEP speed (when inside above values),Clamp_Creep_speed,750,SetupWord[53],
Offset value so clamp height reads zero at pressure,Clamp_Offset2,0,SetupWord[54],
Clamp HIGH speed,Clamp_speed,4500,SetupWord[55],
"Value below which ""HALF CLAMP TOO LOW"" comes on",HalfClampMin,10,SetupWord[56],
Clamp High creep speed to gain clamp pressure more quickly,ClampCreepHighSpeed,1200,SetupWord[57],
Clamp creep speed below half clamp,ClampBelowHalfSpeed,1100,SetupWord[58],

Pump speed on ESTOP (x100 Hz),ESTOPSpeed,2000,SetupWord[60]
Pump idle speed (x 100Hz),Hyd_Pump_Idle_speed,500,SetupWord[61]

Slitter SAFE speed with Light Guards OK,SlitterHighSpeed,2200,SetupWord[67]
Slitter FWD delay,T_SlitterFwdDelay.pre,500,SetupWord[68]
Slitter REV delay,T_SlitterRevDelay.pre,500,SetupWord[69]
Slitter CREEP speed,Slitter_CREEP_speed,200,SetupWord[70]
Slitter FORWARD speed in full speed mode,Slitter_FAST_speed,1000,SetupWord[71]
Slitter RETURN speed in full speed mode,Slitter_RETURN_speed,1200,SetupWord[72]
Slitter FORWARD speed in half speed mode,Slitter_SLOW_speed,900,SetupWord[73]
Alarm timer settings for sensor checks,SlitterFullSpeedFastTime,10000,SetupWord[74]
